Selskap;Markedsverdi;Av total(%)
Statoil;582219008;23.92
Telenor;264106467;10.85
DNB;247740307;10.18
Norsk Hydro;129002043;5.30
Yara International;102921157;4.23
Orkla;88697941;3.64
Gjensidige Forsikring;77450000;3.18
Aker BP;72706917;2.99
Marine Harvest;68133321;2.80
Schibsted;53826841;2.21
Storebrand;31296755;1.29
Aker;29951710;1.23
SalMar;27962440;1.15
Lerøy Seafood Group;26202126;1.08
Wallenius Wilhelmsen Logistics;25068968;1.03
Entra;22415360;0.92
SpareBank 1 SR-Bank;22250344;0.91
TGS-NOPEC Geophysical Company;19875572;0.82
Tomra Systems;19464640;0.80
Kongsberg Gruppen;18120000;0.74
Olav Thon Eiendomsselskap;17350587;0.71
Norwegian Finans Holding;17175379;0.71
Austevoll Seafood;13835461;0.57
AF Gruppen;13077794;0.54
Aker Solutions;12565730;0.52
